agent,n,seed,value_err_rmse,policy_err_l1,premium_vs_twap,premium_ci_low,premium_ci_high,clearance_prob,wall_clock_sec,kappa_hat
A_tabular,100,0,0.06332890572228259,0.016057819927170078,0.051123802456394404,0.027364660045909768,0.07403882212738105,1.0,0.0015811920166015625,nan
A_tabular,100,1,0.06335894544252903,0.016094047743281464,0.053578186863016984,0.030097750202806604,0.076951275696767,1.0,0.0006029605865478516,nan
A_tabular,100,2,0.06333976890797204,0.016039607636048434,0.040945692760596474,0.017717460129545698,0.06380122972069761,1.0,0.0004229545593261719,nan
A_tabular,100,3,0.06335831293167773,0.016096131076614794,0.038631181120163234,0.014476153868411083,0.061746492981742195,1.0,0.0004980564117431641,nan
A_tabular,100,4,0.06334754946521265,0.016064955085466265,0.05754744245254969,0.03452633801497241,0.0784606802544528,1.0,0.0012080669403076172,nan
A_tabular,100,5,0.06332706639982424,0.016067483608430265,0.04817214793331104,0.026293722292335602,0.0714093580615406,1.0,0.0004930496215820312,nan
A_tabular,100,6,0.06335989102595137,0.016100297743281464,0.04313641414822456,0.019585577076215624,0.06721536190498384,1.0,0.0005297660827636719,nan
A_tabular,100,7,0.06334083714817638,0.0160886122030045,0.043996257354622315,0.022167058823151984,0.06704670778354994,1.0,0.000537872314453125,nan
A_tabular,100,8,0.06335533592110075,0.016089884377968523,0.060650212732557406,0.038543818240264795,0.08396773399677306,1.0,0.0007150173187255859,nan
A_tabular,100,9,0.06334810321937356,0.016058631076614795,0.03691618368535393,0.01399369141282979,0.059912981993270754,1.0,0.00046324729919433594,nan
A_tabular,100,10,0.06335728354564862,0.01607946440994813,0.050995504031101604,0.028420391315725532,0.07453863890809627,1.0,0.0005118846893310547,nan
A_tabular,100,11,0.06335657080610449,0.016078708943719513,0.05499395114645574,0.031933406426985764,0.07884462814968163,1.0,0.0007288455963134766,nan
A_tabular,100,12,0.06335905424440334,0.016100297743281464,0.049315580935348324,0.026854774415587958,0.0712413621185943,1.0,0.0007381439208984375,nan
A_tabular,100,13,0.06334824340931414,0.01609348271799069,0.03446241003694271,0.012064507042329291,0.057396053104649375,1.0,0.0016582012176513672,nan
