sigma_lam,lam_idx,lam_value,q,h_t0,mo_trigger_t0
0.0,0,0.08333333333333334,0,0.0,False
0.0,0,0.08333333333333334,1,0.030401078997044525,False
0.0,0,0.08333333333333334,2,0.053466473013899084,False
0.0,0,0.08333333333333334,3,0.07208187375389082,False
0.0,0,0.08333333333333334,4,0.08743371507524071,False
0.0,0,0.08333333333333334,5,0.1001757242916259,False
0.0,0,0.08333333333333334,6,0.1107242085582542,False
0.0,0,0.08333333333333334,7,0.11936871577489293,False
0.0,0,0.08333333333333334,8,0.12632303688340318,False
0.0,0,0.08333333333333334,9,0.1317520196150701,False
0.0,0,0.08333333333333334,10,0.13578702665405115,False
0.0,1,0.1287043420788649,0,0.0,False
0.0,1,0.1287043420788649,1,0.030401478170817172,False
0.0,1,0.1287043420788649,2,0.05346730421467619,False
0.0,1,0.1287043420788649,3,0.07208317071201571,False
0.0,1,0.1287043420788649,4,0.08743551237231725,False
0.0,1,0.1287043420788649,5,0.100178057335097,False
0.0,1,0.1287043420788649,6,0.11072711355645626,False
0.0,1,0.1287043420788649,7,0.1193722297126242,False
0.0,1,0.1287043420788649,8,0.12632719749803542,False
0.0,1,0.1287043420788649,9,0.13175686537322187,False
0.0,1,0.1287043420788649,10,0.13579259672882704,False
0.0,2,0.1987776920394417,0,0.0,False
0.0,2,0.1987776920394417,1,0.030409812317414114,False
0.0,2,0.1987776920394417,2,0.05348461992021811,False
0.0,2,0.1987776920394417,3,0.07211012929443827,False
0.0,2,0.1987776920394417,4,0.08747278841237689,False
0.0,2,0.1987776920394417,5,0.10022633805198398,False
0.0,2,0.1987776920394417,6,0.11078709820241092,False
0.0,2,0.1987776920394417,7,0.1194446289869921,False
0.0,2,0.1987776920394417,8,0.12641273298099903,False
0.0,2,0.1987776920394417,9,0.13185626897921576,False
0.0,2,0.1987776920394417,10,0.135906610179359,False
0.0,3,0.3070026248866988,0,0.0,False
0.0,3,0.3070026248866988,1,0.030421310994582073,False
0.0,3,0.3070026248866988,2,0.05350850918583852,False
0.0,3,0.3070026248866988,3,0.07214732000397227,False
0.0,3,0.3070026248866988,4,0.08752420946847274,False
0.0,3,0.3070026248866988,5,0.10029293553367848,False
0.0,3,0.3070026248866988,6,0.11086983452137801,False
0.0,3,0.3070026248866988,7,0.11954448207143133,False
0.0,3,0.3070026248866988,8,0.12653069548747747,False
