regime,pair,ma,mb,premium,mo_per_path,clearance_prob,degenerate
bivariate,kappa+phi,0.5,0.5,0.35068195272350255,0.0155,0.5665,False
bivariate,kappa+phi,0.5,0.75,0.3578689444988511,0.015,0.5755,False
bivariate,kappa+phi,0.5,1.0,0.3573628862345393,0.0135,0.594,False
bivariate,kappa+phi,0.5,1.5,0.34742703654165996,0.009,0.607,False
bivariate,kappa+phi,0.5,2.0,0.3434112901778227,0.0115,0.6125,False
bivariate,kappa+phi,0.75,0.5,0.25506846001773587,0.008,0.5885,False
bivariate,kappa+phi,0.75,0.75,0.25747382059168317,0.0065,0.6035,False
bivariate,kappa+phi,0.75,1.0,0.25002919655909855,0.0075,0.6145,False
bivariate,kappa+phi,0.75,1.5,0.24618285709464008,0.009,0.629,False
bivariate,kappa+phi,0.75,2.0,0.25105772743965854,0.005,0.641,False
bivariate,kappa+phi,1.0,0.5,0.21469476584108252,0.0055,0.609,False
bivariate,kappa+phi,1.0,0.75,0.20320967566108672,0.0035,0.6165,False
bivariate,kappa+phi,1.0,1.0,0.20080737025573236,0.005,0.6305,False
bivariate,kappa+phi,1.0,1.5,0.20741874984196246,0.0025,0.6505,False
bivariate,kappa+phi,1.0,2.0,0.20549007060937083,0.003,0.687,False
bivariate,kappa+phi,1.5,0.5,0.1526097507995907,0.0025,0.6425,False
bivariate,kappa+phi,1.5,0.75,0.1543496856652563,0.0045,0.6665,False
bivariate,kappa+phi,1.5,1.0,0.1613766346796714,0.001,0.679,False
bivariate,kappa+phi,1.5,1.5,0.14604418899374688,0.0,0.7185,False
bivariate,kappa+phi,1.5,2.0,0.14953454423478715,0.0005,0.74,False
bivariate,kappa+phi,2.0,0.5,0.12478040274029174,0.0,0.679,False
bivariate,kappa+phi,2.0,0.75,0.1389541143078511,0.0,0.6925,False
bivariate,kappa+phi,2.0,1.0,0.12665539007968207,0.0,0.722,False
bivariate,kappa+phi,2.0,1.5,0.12171277368343522,0.001,0.7545,False
bivariate,kappa+phi,2.0,2.0,0.11733002781957919,0.0005,0.7795,False
bivariate,xi+alpha,0.5,0.5,0.17461291077292218,0.0115,0.6125,False
bivariate,xi+alpha,0.5,0.75,0.17627842731404667,0.0135,0.6105,False
bivariate,xi+alpha,0.5,1.0,0.1726396828703656,0.037,0.626,False
bivariate,xi+alpha,0.5,1.5,0.17540229202225655,0.142,0.7295,False
bivariate,xi+alpha,0.5,2.0,0.17529031816947793,0.131,0.7375,False
bivariate,xi+alpha,0.75,0.5,0.18710762872160108,0.0015,0.6125,False
bivariate,xi+alpha,0.75,0.75,0.19213505044485377,0.007,0.6185,False
bivariate,xi+alpha,0.75,1.0,0.18831705574905175,0.007,0.6335,False
bivariate,xi+alpha,0.75,1.5,0.1879531487682667,0.026,0.647,False
bivariate,xi+alpha,0.75,2.0,0.1854977069138484,0.113,0.7485,False
bivariate,xi+alpha,1.0,0.5,0.1995953551502337,0.0005,0.6125,False
bivariate,xi+alpha,1.0,0.75,0.20461765815513905,0.0015,0.6185,False
bivariate,xi+alpha,1.0,1.0,0.20080737025573236,0.005,0.6305,False
bivariate,xi+alpha,1.0,1.5,0.20290527433070438,0.0065,0.651,False
bivariate,xi+alpha,1.0,2.0,0.19782799716395028,0.0255,0.6685,False
bivariate,xi+alpha,1.5,0.5,0.2245998266777433,0.0,0.6125,False
bivariate,xi+alpha,1.5,0.75,0.229625754644076,0.0,0.6185,False
bivariate,xi+alpha,1.5,1.0,0.22618629617687752,0.0,0.631,False
bivariate,xi+alpha,1.5,1.5,0.22387209278682055,0.0035,0.658,False
bivariate,xi+alpha,1.5,2.0,0.22020000801176712,0.003,0.68,False
bivariate,xi+alpha,2.0,0.5,0.24959982662466698,0.0,0.6125,False
bivariate,xi+alpha,2.0,0.75,0.254624582614304,0.0,0.6185,False
bivariate,xi+alpha,2.0,1.0,0.2511804893681687,0.0,0.631,False
bivariate,xi+alpha,2.0,1.5,0.24927635946053286,0.0005,0.66,False
bivariate,xi+alpha,2.0,2.0,0.24608233816937744,0.0,0.679,False
