regime,lam_train_mult,kap_train_mult,lam_test_mult,kap_test_mult,premium,mo_per_path,clearance_prob
misspec,0.5,0.5,0.5,0.5,0.21857969410701525,0.252,0.297
misspec,0.5,0.5,0.5,0.75,0.15958584248694566,1.193,0.037
misspec,0.5,0.5,0.5,1.0,0.10948281220934399,2.494,0.0045
misspec,0.5,0.5,0.5,1.5,0.05657402396474936,4.715,0.0005
misspec,0.5,0.5,0.5,2.0,0.029428992792823523,5.845,0.0
misspec,0.5,0.5,0.75,0.5,0.28027069913107766,0.0225,0.698
misspec,0.5,0.5,0.75,0.75,0.216333030863279,0.2815,0.187
misspec,0.5,0.5,0.75,1.0,0.16050540384640355,1.224,0.021
misspec,0.5,0.5,0.75,1.5,0.08002176095986528,3.714,0.0005
misspec,0.5,0.5,0.75,2.0,0.04079030508810689,5.304,0.0
misspec,0.5,0.5,1.0,0.5,0.31324079861669385,0.0005,0.8895
misspec,0.5,0.5,1.0,0.75,0.2495934905373383,0.046,0.3905
misspec,0.5,0.5,1.0,1.0,0.17839304160020597,0.5005,0.069
misspec,0.5,0.5,1.0,1.5,0.10133586491846135,2.8245,0.0015
misspec,0.5,0.5,1.0,2.0,0.05280976226914703,4.7925,0.0005
misspec,0.5,0.5,1.5,0.5,0.33876662404223584,0.0,0.993
misspec,0.5,0.5,1.5,0.75,0.2920809472606359,0.0025,0.7425
misspec,0.5,0.5,1.5,1.0,0.23624272137658733,0.065,0.2565
misspec,0.5,0.5,1.5,1.5,0.1330336837218906,1.57,0.0095
misspec,0.5,0.5,1.5,2.0,0.07444940840805739,3.8835,0.001
misspec,0.5,0.5,2.0,0.5,0.3583149869298225,0.0,0.9985
misspec,0.5,0.5,2.0,0.75,0.314364867125513,0.0,0.889
misspec,0.5,0.5,2.0,1.0,0.26478601812487873,0.004,0.462
misspec,0.5,0.5,2.0,1.5,0.16852118327117352,0.801,0.022
misspec,0.5,0.5,2.0,2.0,0.09286980461225033,3.0745,0.0005
misspec,0.5,0.75,0.5,0.5,0.19361946203586097,0.0275,0.7485
misspec,0.5,0.75,0.5,0.75,0.1675298270951448,0.1465,0.351
misspec,0.5,0.75,0.5,1.0,0.1339150732157238,0.4765,0.104
misspec,0.5,0.75,0.5,1.5,0.09425226336596358,1.7635,0.0085
misspec,0.5,0.75,0.5,2.0,0.06419501291406533,3.2215,0.0005
misspec,0.5,0.75,0.75,0.5,0.22667323956069843,0.0005,0.9675
misspec,0.5,0.75,0.75,0.75,0.2029000430080013,0.011,0.7255
misspec,0.5,0.75,0.75,1.0,0.1720120807130129,0.0525,0.371
misspec,0.5,0.75,0.75,1.5,0.13103358371881646,0.649,0.0415
misspec,0.5,0.75,0.75,2.0,0.08473827844930142,1.979,0.0055
misspec,0.5,0.75,1.0,0.5,0.23985432624769265,0.0,0.9985
misspec,0.5,0.75,1.0,0.75,0.22264075561593882,0.0,0.9125
misspec,0.5,0.75,1.0,1.0,0.19597055558449744,0.0085,0.629
misspec,0.5,0.75,1.0,1.5,0.14682617162489178,0.186,0.106
misspec,0.5,0.75,1.0,2.0,0.1086918253624281,1.0915,0.013
misspec,0.5,0.75,1.5,0.5,0.25085203836295034,0.0,1.0
misspec,0.5,0.75,1.5,0.75,0.24943177196621055,0.0,0.9935
misspec,0.5,0.75,1.5,1.0,0.21982456965564987,0.0,0.8945
misspec,0.5,0.75,1.5,1.5,0.17326647106734963,0.0195,0.315
misspec,0.5,0.75,1.5,2.0,0.13969664105249913,0.3025,0.0515
misspec,0.5,0.75,2.0,0.5,0.2669152276751962,0.0,1.0
misspec,0.5,0.75,2.0,0.75,0.2468750860449931,0.0,0.999
misspec,0.5,0.75,2.0,1.0,0.224944797233702,0.0,0.9605
misspec,0.5,0.75,2.0,1.5,0.18863375070263388,0.0,0.5195
misspec,0.5,0.75,2.0,2.0,0.14620354346450354,0.0765,0.1175
misspec,0.5,1.0,0.5,0.5,0.16590218667561388,0.009,0.916
misspec,0.5,1.0,0.5,0.75,0.15094078603994895,0.027,0.666
misspec,0.5,1.0,0.5,1.0,0.13614905650127293,0.0745,0.398
misspec,0.5,1.0,0.5,1.5,0.10962073030338777,0.4165,0.0815
misspec,0.5,1.0,0.5,2.0,0.08348351933223376,1.1275,0.013
misspec,0.5,1.0,0.75,0.5,0.18752275440653937,0.0005,0.9975
misspec,0.5,1.0,0.75,0.75,0.18342875351231577,0.001,0.95
misspec,0.5,1.0,0.75,1.0,0.16517876686765956,0.004,0.7505
misspec,0.5,1.0,0.75,1.5,0.1375137978126446,0.048,0.2795
misspec,0.5,1.0,0.75,2.0,0.11137872008019992,0.28,0.0545
misspec,0.5,1.0,1.0,0.5,0.194161831651614,0.0,1.0
misspec,0.5,1.0,1.0,0.75,0.18027611788515063,0.0,0.995
misspec,0.5,1.0,1.0,1.0,0.17911364978583524,0.0005,0.929
