regime,param,multiplier,premium,mo_per_path,clearance_prob,degenerate
univariate,lam,0.5,0.13614905650127293,0.0745,0.398,False
univariate,lam,0.75,0.18045514262959642,0.013,0.5545,False
univariate,lam,1.0,0.20080737025573236,0.005,0.6305,False
univariate,lam,1.5,0.24221445940497752,0.0005,0.7365,False
univariate,lam,2.0,0.27138048323860403,0.0,0.811,False
univariate,kappa,0.5,0.3573628862345393,0.0135,0.594,False
univariate,kappa,0.75,0.25002919655909855,0.0075,0.6145,False
univariate,kappa,1.0,0.20080737025573236,0.005,0.6305,False
univariate,kappa,1.5,0.1613766346796714,0.001,0.679,False
univariate,kappa,2.0,0.12665539007968207,0.0,0.722,False
univariate,xi,0.5,0.1726396828703656,0.037,0.626,False
univariate,xi,0.75,0.18831705574905175,0.007,0.6335,False
univariate,xi,1.0,0.20080737025573236,0.005,0.6305,False
univariate,xi,1.5,0.22618629617687752,0.0,0.631,False
univariate,xi,2.0,0.2511804893681687,0.0,0.631,False
univariate,alpha,0.5,0.1995953551502337,0.0005,0.6125,False
univariate,alpha,0.75,0.20461765815513905,0.0015,0.6185,False
univariate,alpha,1.0,0.20080737025573236,0.005,0.6305,False
univariate,alpha,1.5,0.20290527433070438,0.0065,0.651,False
univariate,alpha,2.0,0.19782799716395028,0.0255,0.6685,False
univariate,phi,0.5,0.21469476584108252,0.0055,0.609,False
univariate,phi,0.75,0.20320967566108672,0.0035,0.6165,False
univariate,phi,1.0,0.20080737025573236,0.005,0.6305,False
univariate,phi,1.5,0.20741874984196246,0.0025,0.6505,False
univariate,phi,2.0,0.20549007060937083,0.003,0.687,False
