regime,lam_train_mult,kap_train_mult,lam_test_mult,kap_test_mult,premium,mo_per_path,clearance_prob
misspec,0.5,0.5,0.5,0.5,0.21196469410701652,0.252,0.297
misspec,0.5,0.5,0.5,0.75,0.14786834248694772,1.193,0.037
misspec,0.5,0.5,0.5,1.0,0.0957003122093465,2.494,0.0045
misspec,0.5,0.5,0.5,1.5,0.04199652396475287,4.715,0.0005
misspec,0.5,0.5,0.5,2.0,0.014633992792827314,5.845,0.0
misspec,0.5,0.5,0.75,0.5,0.27819819913107785,0.0225,0.698
misspec,0.5,0.5,0.75,0.75,0.2085780308632811,0.2815,0.187
misspec,0.5,0.5,0.75,1.0,0.14842540384640632,1.224,0.021
misspec,0.5,0.5,0.75,1.5,0.06577176095986903,3.714,0.0005
misspec,0.5,0.5,0.75,2.0,0.026145305088110006,5.304,0.0
misspec,0.5,0.5,1.0,0.5,0.31260079861669365,0.0005,0.8895
misspec,0.5,0.5,1.0,0.75,0.244853490537339,0.046,0.3905
misspec,0.5,0.5,1.0,1.0,0.16845054160020734,0.5005,0.069
misspec,0.5,0.5,1.0,1.5,0.08739336491846317,2.8245,0.0015
misspec,0.5,0.5,1.0,2.0,0.038332262269150194,4.7925,0.0005
misspec,0.5,0.5,1.5,0.5,0.33873162404223583,0.0,0.993
misspec,0.5,0.5,1.5,0.75,0.2905959472606362,0.0025,0.7425
misspec,0.5,0.5,1.5,1.0,0.23036522137658771,0.065,0.2565
misspec,0.5,0.5,1.5,1.5,0.12023368372189366,1.57,0.0095
misspec,0.5,0.5,1.5,2.0,0.060246908408060136,3.8835,0.001
misspec,0.5,0.5,2.0,0.5,0.3583074869298225,0.0,0.9985
misspec,0.5,0.5,2.0,0.75,0.3137798671255131,0.0,0.889
misspec,0.5,0.5,2.0,1.0,0.2612135181248799,0.004,0.462
misspec,0.5,0.5,2.0,1.5,0.1570136832711753,0.801,0.022
misspec,0.5,0.5,2.0,2.0,0.07895980461225381,3.0745,0.0005
misspec,0.5,0.75,0.5,0.5,0.19177196203586178,0.0275,0.7485
misspec,0.5,0.75,0.5,0.75,0.16188732709514625,0.1465,0.351
misspec,0.5,0.75,0.5,1.0,0.12435757321572462,0.4765,0.104
misspec,0.5,0.75,0.5,1.5,0.08106976336596602,1.7635,0.0085
misspec,0.5,0.75,0.5,2.0,0.0499425129140684,3.2215,0.0005
misspec,0.5,0.75,0.75,0.5,0.2265032395606984,0.0005,0.9675
misspec,0.5,0.75,0.75,0.75,0.20111754300800136,0.011,0.7255
misspec,0.5,0.75,0.75,1.0,0.16695458071301425,0.0525,0.371
misspec,0.5,0.75,0.75,1.5,0.12009858371881899,0.649,0.0415
misspec,0.5,0.75,0.75,2.0,0.07118077844930375,1.979,0.0055
misspec,0.5,0.75,1.0,0.5,0.23984682624769266,0.0,0.9985
misspec,0.5,0.75,1.0,0.75,0.22216575561593888,0.0,0.9125
misspec,0.5,0.75,1.0,1.0,0.1935930555844979,0.0085,0.629
misspec,0.5,0.75,1.0,1.5,0.13824367162489257,0.186,0.106
misspec,0.5,0.75,1.0,2.0,0.09629682536243109,1.0915,0.013
misspec,0.5,0.75,1.5,0.5,0.25085203836295034,0.0,1.0
misspec,0.5,0.75,1.5,0.75,0.2493992719662105,0.0,0.9935
misspec,0.5,0.75,1.5,1.0,0.21927206965564983,0.0,0.8945
misspec,0.5,0.75,1.5,1.5,0.16840147106735112,0.0195,0.315
misspec,0.5,0.75,1.5,2.0,0.1299266410525015,0.3025,0.0515
misspec,0.5,0.75,2.0,0.5,0.2669152276751962,0.0,1.0
misspec,0.5,0.75,2.0,0.75,0.24687008604499308,0.0,0.999
misspec,0.5,0.75,2.0,1.0,0.22474229723370198,0.0,0.9605
misspec,0.5,0.75,2.0,1.5,0.1857712507026347,0.0,0.5195
misspec,0.5,0.75,2.0,2.0,0.13852604346450506,0.0765,0.1175
misspec,0.5,1.0,0.5,0.5,0.16533968667561397,0.009,0.916
misspec,0.5,1.0,0.5,0.75,0.14854328603994943,0.027,0.666
misspec,0.5,1.0,0.5,1.0,0.13116405650127394,0.0745,0.398
misspec,0.5,1.0,0.5,1.5,0.09972823030338952,0.4165,0.0815
misspec,0.5,1.0,0.5,2.0,0.0708210193322368,1.1275,0.013
misspec,0.5,1.0,0.75,0.5,0.18750775440653938,0.0005,0.9975
misspec,0.5,1.0,0.75,0.75,0.1831362535123158,0.001,0.95
misspec,0.5,1.0,0.75,1.0,0.16361876686765997,0.004,0.7505
misspec,0.5,1.0,0.75,1.5,0.1316737978126459,0.048,0.2795
misspec,0.5,1.0,0.75,2.0,0.10151122008020161,0.28,0.0545
misspec,0.5,1.0,1.0,0.5,0.194161831651614,0.0,1.0
misspec,0.5,1.0,1.0,0.75,0.1802511178851506,0.0,0.995
misspec,0.5,1.0,1.0,1.0,0.17871114978583527,0.0005,0.929
misspec,0.5,1.0,1.0,1.5,0.14616912364201767,0.0025,0.5
misspec,0.5,1.0,1.0,2.0,0.11786258379660328,0.064,0.147
misspec,0.5,1.0,1.5,0.5,0.20637744349933315,0.0,1.0
misspec,0.5,1.0,1.5,0.75,0.20360532533444814,0.0,1.0
misspec,0.5,1.0,1.5,1.0,0.19138861157657533,0.0,0.9935
misspec,0.5,1.0,1.5,1.5,0.16555429904911037,0.0005,0.7855
misspec,0.5,1.0,1.5,2.0,0.14274428607404172,0.003,0.3775
misspec,0.5,1.0,2.0,0.5,0.21006049289852108,0.0,1.0
misspec,0.5,1.0,2.0,0.75,0.2065781857745402,0.0,1.0
misspec,0.5,1.0,2.0,1.0,0.19260635803099027,0.0,0.999
