regime,param,multiplier,premium,mo_per_path,clearance_prob,degenerate
univariate,lam,0.5,0.13116405650127394,0.0745,0.398,False
univariate,lam,0.75,0.17727264262959733,0.013,0.5545,False
univariate,lam,1.0,0.19838487025573293,0.005,0.6305,False
univariate,lam,1.5,0.24062945940497785,0.0005,0.7365,False
univariate,lam,2.0,0.2702904832386044,0.0,0.811,False
univariate,kappa,0.5,0.3543728862345397,0.0135,0.594,False
univariate,kappa,0.75,0.24735669655909936,0.0075,0.6145,False
univariate,kappa,1.0,0.19838487025573293,0.005,0.6305,False
univariate,kappa,1.5,0.1593966346796718,0.001,0.679,False
univariate,kappa,2.0,0.12504539007968243,0.0,0.722,False
univariate,xi,0.5,0.1714421828703649,0.037,0.626,False
univariate,xi,0.75,0.18650018074905164,0.007,0.6335,False
univariate,xi,1.0,0.19838487025573293,0.005,0.6305,False
univariate,xi,1.5,0.22252629617687722,0.0,0.631,False
univariate,xi,2.0,0.2463004893681672,0.0,0.631,False
univariate,alpha,0.5,0.19682535515023414,0.0005,0.6125,False
univariate,alpha,0.75,0.20201765815513958,0.0015,0.6185,False
univariate,alpha,1.0,0.19838487025573293,0.005,0.6305,False
univariate,alpha,1.5,0.20065277433070525,0.0065,0.651,False
univariate,alpha,2.0,0.19579299716395096,0.0255,0.6685,False
univariate,phi,0.5,0.21199476584108295,0.0055,0.609,False
univariate,phi,0.75,0.20064717566108745,0.0035,0.6165,False
univariate,phi,1.0,0.19838487025573293,0.005,0.6305,False
univariate,phi,1.5,0.2051962498419629,0.0025,0.6505,False
univariate,phi,2.0,0.20357257060937142,0.003,0.687,False
