panel,agent,sweep_value,seed,mo_per_path,terminal_mean,clearance_prob,value_err_rmse
a,A_tabular,0.0,0,0.246,300.076564468821,0.902,nan
a,B_ddqn,0.0,0,0.0,300.0960970340685,0.52,nan
a,A_tabular,0.0,1,0.16,300.1187911597218,0.854,nan
a,B_ddqn,0.0,1,0.0,300.0772435961784,1.0,nan
a,A_tabular,0.0,2,0.056,300.09006495856875,0.854,nan
a,B_ddqn,0.0,2,0.0,300.0336527586614,0.014,nan
a,A_tabular,0.0,3,0.42,300.11826329566486,0.852,nan
a,B_ddqn,0.0,3,0.0,300.14654891393275,0.392,nan
a,A_tabular,0.0,4,0.022,300.11400515036354,0.864,nan
a,B_ddqn,0.0,4,0.0,300.08398555861044,0.934,nan
a,A_tabular,0.0,5,0.144,300.1218219552731,0.936,nan
a,B_ddqn,0.0,5,0.0,299.98683315920175,0.0,nan
a,A_tabular,0.0,6,0.1,300.07844290775404,0.928,nan
a,B_ddqn,0.0,6,0.0,300.0676358760889,1.0,nan
a,A_tabular,0.0,7,0.146,300.0935926102126,0.918,nan
a,B_ddqn,0.0,7,1.53,300.10403191590547,1.0,nan
a,A_tabular,0.0,8,0.066,300.069094463527,0.916,nan
a,B_ddqn,0.0,8,0.0,299.90182491915965,0.0,nan
a,A_tabular,0.0,9,0.056,300.08910237003215,0.914,nan
a,B_ddqn,0.0,9,0.0,300.12391263400656,0.878,nan
a,A_tabular,0.001,0,0.462,300.0915355519366,0.898,nan
a,B_ddqn,0.001,0,1.808,299.90953023040095,0.0,nan
a,A_tabular,0.001,1,0.464,300.12399810871074,0.882,nan
a,B_ddqn,0.001,1,0.0,300.1294743406303,0.986,nan
a,A_tabular,0.001,2,0.294,300.0731123759765,0.872,nan
a,B_ddqn,0.001,2,0.0,300.11964341372726,0.916,nan
a,A_tabular,0.001,3,0.458,300.10769396102563,0.9,nan
a,B_ddqn,0.001,3,0.0,300.1084341786123,0.99,nan
a,A_tabular,0.001,4,0.272,300.07935694965676,0.818,nan
a,B_ddqn,0.001,4,0.886,300.0952128330427,0.042,nan
a,A_tabular,0.001,5,0.37,300.1135575555518,0.922,nan
a,B_ddqn,0.001,5,0.0,300.1597983811976,0.684,nan
a,A_tabular,0.001,6,0.24,300.0953589055836,0.914,nan
a,B_ddqn,0.001,6,0.0,300.0425750639815,1.0,nan
a,A_tabular,0.001,7,0.554,300.0895427243977,0.962,nan
a,B_ddqn,0.001,7,0.0,300.09078396766785,0.278,nan
a,A_tabular,0.001,8,0.216,300.0762185277161,0.888,nan
a,B_ddqn,0.001,8,7.204,299.9712506959218,1.0,nan
a,A_tabular,0.001,9,0.174,300.08677921893275,0.882,nan
a,B_ddqn,0.001,9,0.0,300.09139545476734,0.798,nan
a,A_tabular,0.01,0,6.664,300.0038214172652,1.0,nan
a,B_ddqn,0.01,0,7.872,299.9819759623052,1.0,nan
a,A_tabular,0.01,1,5.966,300.0113359162581,1.0,nan
a,B_ddqn,0.01,1,9.432,299.9587024464604,1.0,nan
a,A_tabular,0.01,2,7.334,299.9918721739069,1.0,nan
a,B_ddqn,0.01,2,1.528,300.0499568080229,0.016,nan
a,A_tabular,0.01,3,7.04,300.00338821279985,1.0,nan
a,B_ddqn,0.01,3,0.0,300.10944542129965,0.874,nan
a,A_tabular,0.01,4,6.714,300.023544986986,1.0,nan
a,B_ddqn,0.01,4,8.238,299.988746352136,1.0,nan
a,A_tabular,0.01,5,7.704,300.005924185102,1.0,nan
a,B_ddqn,0.01,5,6.832,300.0342788697191,1.0,nan
a,A_tabular,0.01,6,6.838,300.008865750101,1.0,nan
a,B_ddqn,0.01,6,2.862,300.02164946426427,1.0,nan
a,A_tabular,0.01,7,7.116,300.0154077055993,1.0,nan
a,B_ddqn,0.01,7,0.0,300.0134349981979,1.0,nan
a,A_tabular,0.01,8,6.83,300.0038825059935,1.0,nan
a,B_ddqn,0.01,8,0.008,300.08236252351105,0.322,nan
a,A_tabular,0.01,9,7.334,300.00660536898937,1.0,nan
a,B_ddqn,0.01,9,6.826,300.0074080076745,1.0,nan
a,A_tabular,0.05,0,7.856,299.96771594330994,1.0,nan
a,B_ddqn,0.05,0,4.858,300.0541480070887,0.912,nan
a,A_tabular,0.05,1,8.61,299.98660652254205,1.0,nan
a,B_ddqn,0.05,1,3.1,300.05004371906585,0.526,nan
a,A_tabular,0.05,2,8.358,299.9681653783925,1.0,nan
a,B_ddqn,0.05,2,2.618,300.0153437739254,0.468,nan
a,A_tabular,0.05,3,8.032,299.9799148607739,1.0,nan
a,B_ddqn,0.05,3,7.742,299.9975978328154,1.0,nan
a,A_tabular,0.05,4,8.11,299.97780754262476,1.0,nan
a,B_ddqn,0.05,4,8.01,299.99454886611477,1.0,nan
a,A_tabular,0.05,5,8.35,299.9688025501945,1.0,nan
a,B_ddqn,0.05,5,9.694,299.95280169120605,1.0,nan
a,A_tabular,0.05,6,7.366,299.96735913580574,1.0,nan
a,B_ddqn,0.05,6,2.216,299.92444373321587,0.002,nan
a,A_tabular,0.05,7,7.59,299.9804544664774,1.0,nan
a,B_ddqn,0.05,7,1.222,300.07790467371944,0.556,nan
a,A_tabular,0.05,8,8.618,299.97043996135113,1.0,nan
a,B_ddqn,0.05,8,9.632,299.9522471686187,1.0,nan
a,A_tabular,0.05,9,7.91,299.9783149355964,1.0,nan
a,B_ddqn,0.05,9,9.63,299.9527431760242,1.0,nan
