panel,agent,sweep_value,seed,mo_per_path,terminal_mean,premium_vs_twap,clearance_prob,value_err_rmse
c,A_tabular,default,0,0.0,300.105996460889,0.1577383276248114,0.942,nan
c,B_ddqn,default,0,0.0,299.9690560470156,0.020797913751409963,0.0,nan
c,A_tabular,default,1,0.03,300.1079508389935,0.14824975379992258,0.966,nan
c,B_ddqn,default,1,0.0,300.1547716687968,0.195070583603239,0.782,nan
c,A_tabular,default,2,0.112,300.11655481564367,0.16531167315082826,0.918,nan
c,B_ddqn,default,2,0.544,300.0346129034963,0.08336976100349568,0.0,nan
c,A_tabular,default,3,0.0,300.0816829171983,0.15571519772811848,0.978,nan
c,B_ddqn,default,3,0.0,300.09652949907047,0.17056177960026822,0.366,nan
c,A_tabular,default,4,0.0,300.1066430468095,0.1593960890754154,0.988,nan
c,B_ddqn,default,4,0.0,300.09804990231856,0.15080294458449758,0.672,nan
c,A_tabular,default,5,0.14,300.08367457968984,0.17317790403699088,0.968,nan
c,B_ddqn,default,5,0.0,300.09554176006503,0.18504508441213954,0.9,nan
c,A_tabular,default,6,0.088,300.08975197602945,0.11793545190117516,0.978,nan
c,B_ddqn,default,6,0.0,300.14456421641876,0.17274769229049752,0.326,nan
c,A_tabular,default,7,0.094,300.08056888286933,0.1301657792258052,0.982,nan
c,B_ddqn,default,7,0.0,300.0132059449836,0.06280284134014402,0.0,nan
c,A_tabular,default,8,0.0,300.0838884362435,0.1384231033848964,0.988,nan
c,B_ddqn,default,8,0.0,300.1248688298854,0.1794034970268117,0.992,nan
c,A_tabular,default,9,0.0,300.0736460860077,0.13760403537981347,0.968,nan
c,B_ddqn,default,9,0.008,300.10391121223176,0.1678691616038693,0.59,nan
c,A_tabular,default,10,0.236,300.082207462645,0.12656599160551127,0.978,nan
c,B_ddqn,default,10,0.0,300.04024587146307,0.08460440042365894,1.0,nan
c,A_tabular,default,11,0.08,300.0723565975357,0.15108146429019292,0.952,nan
c,B_ddqn,default,11,0.0,299.9320650551127,0.01078992186712162,0.214,nan
c,A_tabular,default,12,0.026,300.099532062259,0.14357932751998215,0.956,nan
