panel,agent,sweep_value,seed,mo_per_path,terminal_mean,premium_vs_twap,clearance_prob,value_err_rmse
c,A_tabular,default,0,0.07,300.0771101540215,0.12705823471940988,0.995,nan
c,B_ddqn,default,0,0.0,300.1222367057214,0.17218478641926055,0.13,nan
c,A_tabular,default,1,0.065,300.08142889227764,0.1173811599852337,1.0,nan
c,B_ddqn,default,1,0.0,300.11912117375215,0.15507344145973775,0.045,nan
c,A_tabular,default,2,0.07,300.0332934020179,0.07940425612873782,0.995,nan
c,B_ddqn,default,2,0.0,300.12658826550853,0.17269911961936799,0.855,nan
c,A_tabular,forced_mo_5pct,0,0.0,300.074732038088,0.12468011878584065,1.0,nan
c,B_ddqn,forced_mo_5pct,0,0.0,300.06961142953327,0.11955951023118246,0.11,nan
c,A_tabular,forced_mo_5pct,1,0.255,300.09423706014366,0.130189327851312,1.0,nan
c,B_ddqn,forced_mo_5pct,1,4.25,300.0592498560469,0.09520212375448693,0.995,nan
c,A_tabular,forced_mo_5pct,2,0.04,300.0458805321047,0.09199138621557239,1.0,nan
c,B_ddqn,forced_mo_5pct,2,0.0,300.09651767092794,0.14262852503880594,0.375,nan
